player,runs,balls_faced,fours,sixes,average,strike_rate
V Kohli,1957,1677,174,51,116.7,116.7
KS Williamson,1955,1923,173,43,101.66,101.66
RG Sharma,1551,1306,148,62,118.76,118.76
DA Warner,1529,1275,154,44,119.92,119.92
MS Dhoni,1509,1336,102,71,112.95,112.95
JC Buttler,1391,1119,126,47,124.31,124.31
Babar Azam,1337,1378,109,16,97.02,97.02
S Dhawan,1316,1120,166,21,117.5,117.5
BA Stokes,1314,1165,92,52,112.79,112.79
JE Root,1307,1427,104,9,91.59,91.59
JJ Roy,1291,1105,149,37,116.83,116.83
KL Rahul,1275,973,123,50,131.04,131.04
MJ Guptill,1253,1097,124,54,114.22,114.22
AB de Villiers,1149,883,87,54,130.12,130.12
EJG Morgan,1131,1105,88,44,102.35,102.35
E Lewis,1116,887,96,63,125.82,125.82
HM Amla,1095,984,118,26,111.28,111.28
SPD Smith,1056,1062,88,19,99.44,99.44
AD Hales,1035,910,117,30,113.74,113.74
AJ Finch,1030,870,89,45,118.39,118.39
MK Pandey,1001,854,67,28,117.21,117.21
C Munro,972,649,77,61,149.77,149.77
LRPL Taylor,938,1150,81,9,81.57,81.57
SK Raina,923,676,90,30,136.54,136.54
GJ Maxwell,917,639,78,48,143.51,143.51
JM Bairstow,859,820,87,15,104.76,104.76
HH Pandya,858,635,49,50,135.12,135.12
TM Head,851,848,67,21,100.35,100.35
RR Pant,802,506,72,45,158.5,158.5
Tamim Iqbal,784,1034,83,10,75.82,75.82
AM Rahane,776,756,78,16,102.65,102.65
SS Iyer,772,570,67,32,135.44,135.44
KD Karthik,766,545,72,24,140.55,140.55
KM Jadhav,755,584,75,25,129.28,129.28
CH Gayle,754,582,55,58,129.55,129.55
TWM Latham,746,883,68,13,84.48,84.48
SV Samson,718,513,52,34,139.96,139.96
Q de Kock,706,757,70,12,93.26,93.26
CA Lynn,702,483,74,34,145.34,145.34
Yuvraj Singh,674,601,79,20,112.15,112.15
RV Uthappa,661,438,61,39,150.91,150.91
Shakib Al Hasan,656,697,64,8,94.12,94.12
AT Rayudu,656,577,63,25,113.69,113.69
SW Bates,646,620,78,7,104.19,104.19
