player,runs_conceded,balls_bowled,wickets,economy,bowling_average,strike_rate
JJ Bumrah,1759,1835,85,5.75,20.69,21.59
TA Boult,1872,1785,78,6.29,24.0,22.88
B Kumar,1191,1153,65,6.2,18.32,17.74
LE Plunkett,1387,1404,58,5.93,23.91,24.21
CR Woakes,1241,1195,56,6.23,22.16,21.34
YS Chahal,1248,1102,56,6.79,22.29,19.68
TG Southee,1520,1545,56,5.9,27.14,27.59
Hasan Ali,956,963,54,5.96,17.7,17.83
AU Rashid,1237,1310,53,5.67,23.34,24.72
HH Pandya,1327,1221,53,6.52,25.04,23.04
UT Yadav,1177,1026,52,6.88,22.63,19.73
AJ Tye,839,719,48,7.0,17.48,14.98
MJ Santner,1331,1640,46,4.87,28.93,35.65
Imran Tahir,1072,954,46,6.74,23.3,20.74
PJ Cummins,1090,1120,44,5.84,24.77,25.45
JD Unadkat,803,616,44,7.82,18.25,14.0
Kuldeep Yadav,891,679,38,7.87,23.45,17.87
A Mishra,776,718,37,6.48,20.97,19.41
SP Narine,1102,998,36,6.63,30.61,27.72
BA Stokes,1217,1164,35,6.27,34.77,33.26
CH Morris,990,908,35,6.54,28.29,25.94
S Kaul,606,489,35,7.44,17.31,13.97
MJ McClenaghan,743,543,34,8.21,21.85,15.97
Rashid Khan,635,571,32,6.67,19.84,17.84
IS Sodhi,833,796,32,6.28,26.03,24.88
AR Patel,873,958,31,5.47,28.16,30.9
JP Faulkner,715,626,31,6.85,23.06,20.19
MA Starc,647,796,31,4.88,20.87,25.68
Shakib Al Hasan,1092,1056,31,6.2,35.23,34.06
CR Brathwaite,857,742,28,6.93,30.61,26.5
SL Malinga,714,629,27,6.81,26.44,23.3
Imad Wasim,748,873,26,5.14,28.77,33.58
JR Hazlewood,523,693,25,4.53,20.92,27.72
Mustafizur Rahman,689,715,25,5.78,27.56,28.6
JT Ball,943,928,25,6.1,37.72,37.12
Shadab Khan,476,476,25,6.0,19.04,19.04
Sandeep Sharma,504,441,25,6.86,20.16,17.64
Mashrafe Mortaza,711,801,24,5.33,29.62,33.38
Mohammad Amir,580,715,24,4.87,24.17,29.79
JO Holder,712,792,24,5.39,29.67,33.0
K Rabada,543,669,24,4.87,22.62,27.88
CJ Jordan,547,405,23,8.1,23.78,17.61
A Zampa,610,574,23,6.38,26.52,24.96
SN Thakur,598,436,23,8.23,26.0,18.96
RA Jadeja,1006,851,23,7.09,43.74,37.0
C de Grandhomme,712,663,23,6.44,30.96,28.83
KH Pandya,475,432,23,6.6,20.65,18.78
AL Phehlukwayo,489,476,21,6.16,23.29,22.67
Basil Thampi,458,315,20,8.72,22.9,15.75
Mohammed Siraj,512,364,20,8.44,25.6,18.2
S Badree,547,451,20,7.28,27.35,22.55
HR Huddleston,237,367,19,3.87,12.47,19.32
KM Beams,223,375,19,3.57,11.74,19.74
NM Coulter-Nile,261,216,18,7.25,14.5,12.0
MM Sharma,607,392,18,9.29,33.72,21.78
P Negi,239,224,18,6.4,13.28,12.44
B Stanlake,494,399,18,7.43,27.44,22.17
AR Nurse,640,647,18,5.94,35.56,35.94
JL Jonassen,378,582,18,3.9,21.0,32.33
NLTC Perera,416,332,17,7.52,24.47,19.53
PP Chawla,506,352,17,8.62,29.76,20.71
DJ Willey,696,618,17,6.76,40.94,36.35
N Pradeep,440,433,17,6.1,25.88,25.47
KOK Williams,282,230,16,7.36,17.62,14.38
DT Christian,397,323,16,7.37,24.81,20.19
DS Kulkarni,504,468,16,6.46,31.5,29.25
DAS Gunaratne,312,364,16,5.14,19.5,22.75
A Wellington,280,332,16,5.06,17.5,20.75
Nadeem Ahmed,287,363,16,4.74,17.94,22.69
