player,format,venue,season,innings,runs,balls,fours,sixes,dots,ones,twos,threes,dismissed,strike_rate,boundary_percentage,dot_ball_percentage
AJ Finch,T20,Melbourne Cricket Ground,2016/17,1,43,34,2,2,12,14,3,1,1,126.47,11.76,35.29
M Klinger,T20,Melbourne Cricket Ground,2016/17,1,38,33,4,0,14,11,1,3,1,115.15,12.12,42.42
TM Head,T20,Melbourne Cricket Ground,2016/17,1,31,26,0,1,6,13,6,0,1,119.23,3.85,23.08
MC Henriques,T20,Melbourne Cricket Ground,2016/17,1,17,11,0,1,3,5,0,2,1,154.55,9.09,27.27
AJ Turner,T20,Melbourne Cricket Ground,2016/17,1,18,13,1,0,2,6,4,0,1,138.46,7.69,15.38
JP Faulkner,T20,Melbourne Cricket Ground,2016/17,1,14,8,2,0,2,2,2,0,1,175.0,25.0,25.0
N Dickwella,T20,Melbourne Cricket Ground,2016/17,2,30,28,4,1,17,5,0,1,1,107.14,17.86,60.71
EMDY Munaweera,T20,Melbourne Cricket Ground,2016/17,2,44,29,6,0,9,9,4,1,1,151.72,20.69,31.03
DAS Gunaratne,T20,Melbourne Cricket Ground,2016/17,2,52,38,7,0,11,16,4,0,1,136.84,18.42,28.95
TAM Siriwardana,T20,Melbourne Cricket Ground,2016/17,2,15,11,1,0,2,6,1,1,1,136.36,9.09,18.18
CK Kapugedera,T20,Melbourne Cricket Ground,2016/17,2,10,7,1,0,1,4,1,0,0,142.86,14.29,14.29
S Prasanna,T20,Melbourne Cricket Ground,2016/17,2,8,10,1,0,5,4,0,0,0,80.0,10.0,50.0
M Klinger,T20,"Simonds Stadium, South Geelong",2016/17,1,43,39,2,1,13,17,6,0,1,110.26,7.69,33.33
AJ Finch,T20,"Simonds Stadium, South Geelong",2016/17,1,12,10,2,0,6,0,2,0,1,120.0,20.0,60.0
BR Dunk,T20,"Simonds Stadium, South Geelong",2016/17,1,32,14,3,3,6,2,0,0,1,228.57,42.86,42.86
MC Henriques,T20,"Simonds Stadium, South Geelong",2016/17,1,56,38,2,2,6,21,6,1,0,147.37,10.53,15.79
TM Head,T20,"Simonds Stadium, South Geelong",2016/17,1,4,4,0,0,1,2,1,0,1,100.0,0.0,25.0
AJ Turner,T20,"Simonds Stadium, South Geelong",2016/17,1,7,6,0,0,1,3,2,0,1,116.67,0.0,16.67
TD Paine,T20,"Simonds Stadium, South Geelong",2016/17,1,7,4,1,0,1,1,1,0,1,175.0,25.0,25.0
PJ Cummins,T20,"Simonds Stadium, South Geelong",2016/17,1,3,3,0,0,1,1,1,0,1,100.0,0.0,33.33
N Dickwella,T20,"Simonds Stadium, South Geelong",2016/17,2,14,8,3,0,3,2,0,0,1,175.0,37.5,37.5
WU Tharanga,T20,"Simonds Stadium, South Geelong",2016/17,2,4,4,1,0,3,0,0,0,1,100.0,25.0,75.0
EMDY Munaweera,T20,"Simonds Stadium, South Geelong",2016/17,2,10,5,1,1,3,0,0,0,1,200.0,40.0,60.0
BKG Mendis,T20,"Simonds Stadium, South Geelong",2016/17,2,5,7,0,0,4,1,2,0,1,71.43,0.0,57.14
DAS Gunaratne,T20,"Simonds Stadium, South Geelong",2016/17,2,84,46,6,5,11,18,6,0,0,182.61,23.91,23.91
CK Kapugedera,T20,"Simonds Stadium, South Geelong",2016/17,2,32,32,4,0,13,14,1,0,1,100.0,12.5,40.62
S Prasanna,T20,"Simonds Stadium, South Geelong",2016/17,2,7,12,1,0,8,3,0,0,1,58.33,8.33,66.67
KMDN Kulasekara,T20,"Simonds Stadium, South Geelong",2016/17,2,12,8,2,0,2,4,0,0,1,150.0,25.0,25.0
AJ Finch,T20,Adelaide Oval,2016/17,1,53,34,5,3,14,9,3,0,1,155.88,23.53,41.18
M Klinger,T20,Adelaide Oval,2016/17,1,62,44,6,1,12,19,5,1,1,140.91,15.91,27.27
BR Dunk,T20,Adelaide Oval,2016/17,1,28,22,2,2,10,8,0,0,1,127.27,18.18,45.45
TM Head,T20,Adelaide Oval,2016/17,1,30,16,1,2,3,6,4,0,1,187.5,18.75,18.75
MC Henriques,T20,Adelaide Oval,2016/17,1,2,3,0,0,1,2,0,0,0,66.67,0.0,33.33
EMDY Munaweera,T20,Adelaide Oval,2016/17,2,37,27,3,2,12,8,1,1,1,137.04,18.52,44.44
WU Tharanga,T20,Adelaide Oval,2016/17,2,14,13,1,1,9,0,2,0,1,107.69,15.38,69.23
BKG Mendis,T20,Adelaide Oval,2016/17,2,14,10,2,0,2,6,0,0,1,140.0,20.0,20.0
DAS Gunaratne,T20,Adelaide Oval,2016/17,2,4,5,0,0,3,1,0,1,1,80.0,0.0,60.0
TAM Siriwardana,T20,Adelaide Oval,2016/17,2,35,28,1,2,8,15,2,0,1,125.0,10.71,28.57
CK Kapugedera,T20,Adelaide Oval,2016/17,2,7,7,1,0,3,3,0,0,1,100.0,14.29,42.86
S Prasanna,T20,Adelaide Oval,2016/17,2,12,10,2,0,5,2,1,0,1,120.0,20.0,50.0
KMDN Kulasekara,T20,Adelaide Oval,2016/17,2,8,7,1,0,2,4,0,0,0,114.29,14.29,28.57
SL Malinga,T20,Adelaide Oval,2016/17,2,1,3,0,0,2,1,0,0,1,33.33,0.0,66.67
JRMVB Sanjaya,T20,Adelaide Oval,2016/17,2,5,3,1,0,1,1,0,0,1,166.67,33.33,33.33
Nizakat Khan,T20,"Bready Cricket Club, Magheramason",2016,1,62,44,7,2,17,14,4,0,1,140.91,20.45,38.64
Aizaz Khan,T20,"Bready Cricket Club, Magheramason",2016,1,5,12,0,0,8,3,1,0,1,41.67,0.0,66.67
Babar Hayat,T20,"Bready Cricket Club, Magheramason",2016,1,49,31,2,2,6,14,6,1,1,158.06,12.9,19.35
Anshuman Rath,T20,"Bready Cricket Club, Magheramason",2016,1,6,6,1,0,3,2,0,0,1,100.0,16.67,50.0
