player,total_runs,avg_runs_per_innings,consistency_std,highest_score,total_balls,total_fours,total_sixes,total_dots,times_dismissed,avg_strike_rate,avg_boundary_pct,avg_dot_pct,innings_played,batting_average,consistency_score
A Balbirnie,239,21.727272727272727,24.936282437809005,74,277,30,2,154,10,70.93454545454546,9.13,61.81909090909091,11,23.9,75.06371756219099
A Dananjaya,34,5.666666666666667,3.0767948691238205,11,42,3,0,20,4,87.27666666666666,8.928333333333333,47.00833333333333,6,8.5,96.92320513087618
A Gardner,150,15.0,10.295630140986999,33,109,22,7,63,9,131.868,25.786,57.404999999999994,10,16.67,89.704369859013
A Khaka,25,3.5714285714285716,2.9358214555806383,8,50,1,0,33,4,62.76,3.5714285714285716,61.362857142857145,7,6.25,97.06417854441936
A Mishra,56,8.0,4.618802153517006,14,75,1,2,37,2,80.83571428571429,5.840000000000001,51.76714285714286,7,28.0,95.38119784648299
A Mohammed,30,6.0,4.0,11,62,4,0,45,2,44.082,6.302,76.076,5,15.0,96.0
A Vala,160,22.857142857142858,25.40622345954216,70,204,17,2,114,7,64.16142857142857,5.4628571428571435,57.205714285714286,7,22.86,74.59377654045784
A Zampa,21,4.2,4.324349662087931,11,35,3,0,23,4,57.894000000000005,10.7,74.208,5,5.25,95.67565033791207
AB de Villiers,1844,41.90909090909091,33.436380535883075,176,1316,149,86,453,33,132.4309090909091,16.962500000000002,38.32431818181818,44,55.88,66.56361946411693
AC Agar,54,10.8,10.686440005914037,29,51,4,2,21,4,93.952,8.692,44.5,5,13.5,89.31355999408596
AC Jayangani,557,30.944444444444443,42.27844983276277,178,788,66,8,501,17,62.49222222222222,9.31388888888889,69.71222222222222,18,32.76,57.72155016723723
AD Hales,1120,31.11111111111111,26.62520586402267,110,1014,124,34,503,33,106.57499999999999,16.399722222222223,54.984722222222224,36,33.94,73.37479413597733
AD Mathews,131,18.714285714285715,21.546185166708636,52,143,11,2,65,7,70.7042857142857,7.325714285714286,56.82285714285714,7,18.71,78.45381483329136
AD Russell,684,29.73913043478261,22.952950674456467,88,371,39,67,146,16,178.25521739130434,27.88391304347826,39.88782608695652,23,42.75,77.04704932554353
ADS Fletcher,176,17.6,19.54027180522887,52,188,14,8,100,10,66.863,7.561,62.45399999999999,10,17.6,80.45972819477113
AE Jones,84,14.0,12.537942414925983,30,94,11,0,48,4,97.57833333333333,12.995,44.385,6,21.0,87.46205758507402
AE Satterthwaite,944,42.90909090909091,38.37522649650433,137,973,95,4,434,14,98.94818181818182,11.246818181818183,45.87772727272727,22,67.43,61.62477350349567
