player,format,venue,season,innings,balls_bowled,runs_conceded,wickets,dots,fours_conceded,sixes_conceded,economy,strike_rate,dot_ball_percentage
SL Malinga,T20,Melbourne Cricket Ground,2016/17,1,25,29,2,7,1,0,6.96,12.5,28.0
KMDN Kulasekara,T20,Melbourne Cricket Ground,2016/17,1,26,38,1,7,4,0,8.77,26.0,26.92
JRMVB Sanjaya,T20,Melbourne Cricket Ground,2016/17,1,19,35,1,5,3,1,11.05,19.0,26.32
S Prasanna,T20,Melbourne Cricket Ground,2016/17,1,25,24,0,11,1,1,5.76,0.0,44.0
PADLR Sandakan,T20,Melbourne Cricket Ground,2016/17,1,24,31,1,8,0,1,7.75,24.0,33.33
DAS Gunaratne,T20,Melbourne Cricket Ground,2016/17,1,6,11,1,1,0,1,11.0,6.0,16.67
PJ Cummins,T20,Melbourne Cricket Ground,2016/17,2,24,30,1,11,4,0,7.5,24.0,45.83
B Stanlake,T20,Melbourne Cricket Ground,2016/17,2,22,42,0,10,5,1,11.45,0.0,45.45
JP Faulkner,T20,Melbourne Cricket Ground,2016/17,2,25,29,0,10,3,0,6.96,0.0,40.0
AJ Tye,T20,Melbourne Cricket Ground,2016/17,2,18,33,0,6,6,0,11.0,0.0,33.33
A Zampa,T20,Melbourne Cricket Ground,2016/17,2,24,26,2,6,1,0,6.5,12.0,25.0
AJ Turner,T20,Melbourne Cricket Ground,2016/17,2,12,12,2,4,1,0,6.0,6.0,33.33
SL Malinga,T20,"Simonds Stadium, South Geelong",2016/17,1,24,32,2,6,3,0,8.0,12.0,25.0
KMDN Kulasekara,T20,"Simonds Stadium, South Geelong",2016/17,1,26,35,4,11,3,0,8.08,6.5,42.31
JRMVB Sanjaya,T20,"Simonds Stadium, South Geelong",2016/17,1,25,32,2,9,2,1,7.68,12.5,36.0
EMDY Munaweera,T20,"Simonds Stadium, South Geelong",2016/17,1,6,22,0,2,1,3,22.0,0.0,33.33
DAS Gunaratne,T20,"Simonds Stadium, South Geelong",2016/17,1,18,26,1,3,0,2,8.67,18.0,16.67
S Prasanna,T20,"Simonds Stadium, South Geelong",2016/17,1,24,26,1,8,1,0,6.5,24.0,33.33
AJ Turner,T20,"Simonds Stadium, South Geelong",2016/17,2,12,16,1,6,3,0,8.0,12.0,50.0
PJ Cummins,T20,"Simonds Stadium, South Geelong",2016/17,2,19,28,1,7,5,0,8.84,19.0,36.84
JP Faulkner,T20,"Simonds Stadium, South Geelong",2016/17,2,24,32,2,6,4,0,8.0,12.0,25.0
JA Richardson,T20,"Simonds Stadium, South Geelong",2016/17,2,18,25,1,7,2,1,8.33,18.0,38.89
AJ Tye,T20,"Simonds Stadium, South Geelong",2016/17,2,25,37,3,11,3,2,8.88,8.33,44.0
MC Henriques,T20,"Simonds Stadium, South Geelong",2016/17,2,26,38,0,11,1,3,8.77,0.0,42.31
SL Malinga,T20,Adelaide Oval,2016/17,1,26,35,3,12,2,2,8.08,8.67,46.15
KMDN Kulasekara,T20,Adelaide Oval,2016/17,1,25,40,0,6,4,1,9.6,0.0,24.0
JRMVB Sanjaya,T20,Adelaide Oval,2016/17,1,19,35,0,8,4,2,11.05,0.0,42.11
S Prasanna,T20,Adelaide Oval,2016/17,1,18,25,1,5,2,1,8.33,18.0,27.78
TAM Siriwardana,T20,Adelaide Oval,2016/17,1,6,12,0,1,0,1,12.0,0.0,16.67
DAS Gunaratne,T20,Adelaide Oval,2016/17,1,7,12,0,2,0,1,10.29,0.0,28.57
MD Shanaka,T20,Adelaide Oval,2016/17,1,24,28,2,9,2,0,7.0,12.0,37.5
AJ Turner,T20,Adelaide Oval,2016/17,2,13,15,0,7,2,0,6.92,0.0,53.85
JA Richardson,T20,Adelaide Oval,2016/17,2,20,38,1,6,2,3,11.4,20.0,30.0
PJ Cummins,T20,Adelaide Oval,2016/17,2,20,21,2,11,2,0,6.3,10.0,55.0
JP Faulkner,T20,Adelaide Oval,2016/17,2,19,21,3,9,1,1,6.63,6.33,47.37
MC Henriques,T20,Adelaide Oval,2016/17,2,6,10,0,2,2,0,10.0,0.0,33.33
A Zampa,T20,Adelaide Oval,2016/17,2,24,25,3,11,2,1,6.25,8.0,45.83
TM Head,T20,Adelaide Oval,2016/17,2,13,16,1,3,1,0,7.38,13.0,23.08
J Little,T20,"Bready Cricket Club, Magheramason",2016,1,26,25,0,12,2,0,5.77,0.0,46.15
CA Young,T20,"Bready Cricket Club, Magheramason",2016,1,27,56,2,7,3,4,12.44,13.5,25.93
KJ O'Brien,T20,"Bready Cricket Club, Magheramason",2016,1,26,40,1,10,5,0,9.23,26.0,38.46
AR McBrine,T20,"Bready Cricket Club, Magheramason",2016,1,24,22,1,10,2,0,5.5,24.0,41.67
J Mulder,T20,"Bready Cricket Club, Magheramason",2016,1,25,26,1,11,1,1,6.24,25.0,44.0
Tanwir Afzal,T20,"Bready Cricket Club, Magheramason",2016,2,24,19,2,14,0,1,4.75,12.0,58.33
Nadeem Ahmed,T20,"Bready Cricket Club, Magheramason",2016,2,25,25,2,14,2,1,6.0,12.5,56.0
Aizaz Khan,T20,"Bready Cricket Club, Magheramason",2016,2,18,12,3,11,1,0,4.0,6.0,61.11
Ehsan Nawaz,T20,"Bready Cricket Club, Magheramason",2016,2,7,13,0,2,2,0,11.14,0.0,28.57
Ehsan Khan,T20,"Bready Cricket Club, Magheramason",2016,2,25,30,1,9,2,0,7.2,25.0,36.0
Tanveer Ahmed,T20,"Bready Cricket Club, Magheramason",2016,2,22,30,2,10,5,0,8.18,11.0,45.45
