player,role,batting_position
A Balbirnie,Lower-Order Batsman,7-9
A Dananjaya,Bowling All-Rounder,7-9
A Gardner,Bowling All-Rounder,7-9
A Khaka,Bowling All-Rounder,7-9
A Mishra,Bowling All-Rounder,7-9
A Mohammed,Bowling All-Rounder,7-9
A Vala,Batting All-Rounder,6-7
A Zampa,Bowling All-Rounder,7-9
AB de Villiers,Top-Order Batsman,1-3
AC Agar,Bowling All-Rounder,7-9
AC Jayangani,Batting All-Rounder,6-7
AD Hales,Middle-Order Batsman,3-5
AD Mathews,Bowling All-Rounder,7-9
AD Russell,Batting All-Rounder,6-7
ADS Fletcher,Lower-Order Batsman,7-9
AE Jones,Lower-Order Batsman,7-9
AE Satterthwaite,Batting All-Rounder,6-7
AF Milne,Bowling All-Rounder,7-9
AG Cremer,Bowling All-Rounder,7-9
AJ Blackwell,Middle-Order Batsman,3-5
AJ Finch,Middle-Order Batsman,3-5
AJ Healy,Lower-Order Batsman,7-9
AJ Tye,Bowling All-Rounder,7-9
AL Phehlukwayo,Bowling All-Rounder,7-9
AM Peterson,Bowling All-Rounder,7-9
AM Rahane,Middle-Order Batsman,3-5
AR Nurse,Bowling All-Rounder,7-9
AR Patel,Bowling All-Rounder,7-9
ASS Fletcher,Bowling All-Rounder,7-9
AT Carey,Lower-Order Batsman,7-9
AT Rayudu,Middle-Order Batsman,3-5
AU Rashid,Bowling All-Rounder,7-9
Adnan Mufti,Lower-Order Batsman,7-9
Ahmed Raza,Bowling All-Rounder,7-9
Ahmed Shehzad,Middle-Order Batsman,3-5
Aizaz Khan,Bowling All-Rounder,7-9
Aliya Riaz,Bowling All-Rounder,7-9
Anshuman Rath,All-Rounder,5-7
Asif Ali,Middle-Order Batsman,3-5
Asmavia Iqbal,Bowling All-Rounder,7-9
Ayesha Zafar,Lower-Order Batsman,7-9
Azhar Ali,Middle-Order Batsman,3-5
B Kumar,Bowling All-Rounder,7-9
BA Stokes,Batting All-Rounder,6-7
BB McCullum,Middle-Order Batsman,3-5
BCJ Cutting,Bowling All-Rounder,7-9
BJ McCarthy,Bowling All-Rounder,7-9
BKG Mendis,Middle-Order Batsman,3-5
BL Mooney,Middle-Order Batsman,3-5
BN Cooper,Lower-Order Batsman,7-9
Babar Azam,Middle-Order Batsman,3-5
Babar Hayat,Middle-Order Batsman,3-5
Basil Thampi,Bowling All-Rounder,7-9
Bismah Maroof,Batting All-Rounder,6-7
C Carter,Lower-Order Batsman,7-9
C Munro,Batting All-Rounder,6-7
C de Grandhomme,Bowling All-Rounder,7-9
CA Ingram,Lower-Order Batsman,7-9
CA Lynn,Middle-Order Batsman,3-5
CAK Walton,Lower-Order Batsman,7-9
CD Wallace,Lower-Order Batsman,7-9
CD de Lange,Bowling All-Rounder,7-9
CH Gayle,Middle-Order Batsman,3-5
CH Morris,Bowling All-Rounder,7-9
CJ Anderson,Bowling All-Rounder,7-9
CJ Chibhabha,Bowling All-Rounder,7-9
CL Tryon,Batting All-Rounder,6-7
CMA Shillington,Lower-Order Batsman,7-9
CN Nation,Lower-Order Batsman,7-9
CNIM Joyce,Lower-Order Batsman,7-9
CR Brathwaite,Bowling All-Rounder,7-9
CR Ervine,Middle-Order Batsman,3-5
CR Woakes,Batting All-Rounder,6-7
CS MacLeod,Middle-Order Batsman,3-5
D Bishoo,Bowling All-Rounder,7-9
D Hazell,Bowling All-Rounder,7-9
D Ramdin,Middle-Order Batsman,3-5
D van Niekerk,All-Rounder,5-7
DA Miller,Lower-Order Batsman,7-9
DA Warner,Middle-Order Batsman,3-5
DAS Gunaratne,All-Rounder,5-7
DB Sharma,All-Rounder,5-7
DG Brownlie,Middle-Order Batsman,3-5
DJ Bravo,Batting All-Rounder,6-7
DJ Hooda,Bowling All-Rounder,7-9
DJ Malan,Top-Order Batsman,1-3
DJ Willey,Bowling All-Rounder,7-9
DJM Short,Middle-Order Batsman,3-5
DJS Dottin,Bowling All-Rounder,7-9
DM de Silva,Middle-Order Batsman,3-5
DN Wyatt,Middle-Order Batsman,3-5
DR Smith,Batting All-Rounder,6-7
DT Christian,Bowling All-Rounder,7-9
DT Tiripano,Bowling All-Rounder,7-9
E Chigumbura,Lower-Order Batsman,7-9
E Lewis,Middle-Order Batsman,3-5
EA Perry,All-Rounder,5-7
EC Perry,Lower-Order Batsman,7-9
EJ Villani,Batting All-Rounder,6-7
EJG Morgan,Middle-Order Batsman,3-5
EM Bermingham,Bowling All-Rounder,7-9
EMDY Munaweera,Batting All-Rounder,6-7
Ehsan Khan,Bowling All-Rounder,7-9
F Behardien,Lower-Order Batsman,7-9
F du Plessis,Middle-Order Batsman,3-5
FC Wilson,Lower-Order Batsman,7-9
Faheem Ashraf,Bowling All-Rounder,7-9
Fakhar Zaman,Middle-Order Batsman,3-5
Fargana Hoque,Middle-Order Batsman,3-5
G Gambhir,Middle-Order Batsman,3-5
GC Wilson,Middle-Order Batsman,3-5
GD Phillips,Lower-Order Batsman,7-9
GH Dockrell,Bowling All-Rounder,7-9
