venue,season,team1,team2,team1_runs,team2_runs,team1_wickets,team2_wickets,team1_strike_rate,team2_strike_rate,team1_boundaries,team2_boundaries,team1_powerplay_runs,team2_powerplay_runs,team1_death_runs,team2_death_runs,total_runs,run_difference,team1_won,winner
Melbourne Cricket Ground,2016/17,Australia,Sri Lanka,168,172,6,5,134.4,137.6,13,21,46,54,27,18,340,4,0,Sri Lanka
"Simonds Stadium, South Geelong",2016/17,Australia,Sri Lanka,173,176,10,8,140.65040650406505,141.93548387096774,16,24,57,44,25,50,349,3,0,Sri Lanka
Adelaide Oval,2016/17,Australia,Sri Lanka,187,146,6,10,149.6,126.95652173913044,22,17,59,56,19,6,333,41,1,Australia
"Bready Cricket Club, Magheramason",2016,Hong Kong,Ireland,169,129,5,10,132.03125,106.61157024793388,18,14,60,25,23,4,298,40,1,Hong Kong
Harare Sports Club,2016,Zimbabwe,India,170,168,7,6,137.09677419354838,130.2325581395349,21,19,40,42,37,25,338,2,1,Zimbabwe
Harare Sports Club,2016,Zimbabwe,India,99,103,9,0,79.2,125.60975609756098,10,11,30,36,13,0,202,4,0,India
Harare Sports Club,2016,India,Zimbabwe,138,135,6,6,112.19512195121952,108.87096774193547,15,16,29,32,42,28,273,3,1,India
McLean Park,2016/17,Bangladesh,New Zealand,141,143,8,4,105.22388059701493,130.0,12,15,32,41,24,13,284,2,0,New Zealand
Bay Oval,2016/17,New Zealand,Bangladesh,195,148,7,10,157.25806451612902,126.49572649572649,23,14,48,41,20,1,343,47,1,New Zealand
Bay Oval,2016/17,New Zealand,Bangladesh,194,167,4,6,159.01639344262296,135.77235772357724,23,22,34,67,39,33,361,27,1,New Zealand
Eden Park,2016/17,South Africa,New Zealand,185,107,6,10,151.63934426229508,117.58241758241759,25,14,51,32,28,0,292,78,1,South Africa
The Rose Bowl,2017,South Africa,England,142,143,3,1,117.35537190082646,160.67415730337078,13,18,42,53,30,0,285,1,0,England
County Ground,2017,South Africa,England,174,171,8,6,139.2,135.71428571428572,22,23,42,47,29,23,345,3,1,South Africa
Sophia Gardens,2017,England,South Africa,181,162,8,7,147.15447154471545,131.70731707317074,23,18,44,31,21,38,343,19,1,England
Riverside Ground,2017,West Indies,England,176,155,9,10,138.58267716535434,128.099173553719,23,17,71,59,27,22,331,21,1,West Indies
Green Park,2016/17,India,England,147,148,7,3,114.84375,130.97345132743362,14,15,44,47,24,14,295,1,0,England
"Vidarbha Cricket Association Stadium, Jamtha",2016/17,India,England,144,139,8,6,117.07317073170731,113.00813008130082,12,11,45,36,19,20,283,5,1,India
M Chinnaswamy Stadium,2016/17,India,England,202,127,6,10,157.8125,124.50980392156863,23,17,45,52,46,0,329,75,1,India
Central Broward Regional Park Stadium Turf Ground,2016,West Indies,India,245,244,6,4,194.44444444444443,196.7741935483871,34,33,77,67,27,28,489,1,1,West Indies
Central Broward Regional Park Stadium Turf Ground,2016,West Indies,India,143,15,10,0,116.26016260162602,125.0,18,1,53,14,20,0,158,128,1,West Indies
