venue,innings1_runs,innings2_runs,total_runs,batting_first_won,matches_played,chase_success_rate
Wankhede Stadium,160.35714285714286,153.85714285714286,314.2142857142857,0.6428571428571429,14,0.3571428571428571
Eden Gardens,163.92307692307693,139.07692307692307,303.0,0.6923076923076923,13,0.3076923076923077
Maharashtra Cricket Association Stadium,161.8181818181818,142.27272727272728,304.09090909090907,0.6363636363636364,11,0.36363636363636365
Sheikh Zayed Stadium,122.9,119.2,242.1,0.5,10,0.5
M Chinnaswamy Stadium,136.125,114.875,251.0,0.625,8,0.375
"Rajiv Gandhi International Stadium, Uppal",157.25,145.125,302.375,0.75,8,0.25
M.Chinnaswamy Stadium,169.71428571428572,164.28571428571428,334.0,0.5714285714285714,7,0.4285714285714286
Feroz Shah Kotla,175.57142857142858,148.42857142857142,324.0,0.8571428571428571,7,0.1428571428571429
Holkar Cricket Stadium,174.33333333333334,162.33333333333334,336.6666666666667,0.3333333333333333,6,0.6666666666666667
Saurashtra Cricket Association Stadium,177.16666666666666,163.16666666666666,342.5,0.6666666666666666,6,0.33333333333333337
Rajiv Gandhi International Stadium,142.5,142.16666666666666,284.6666666666667,0.6666666666666666,6,0.33333333333333337
Dubai International Cricket Stadium,147.33333333333334,115.83333333333333,263.1666666666667,0.6666666666666666,6,0.33333333333333337
Sawai Mansingh Stadium,154.4,130.8,285.2,0.6,5,0.4
Arun Jaitley Stadium,181.5,143.0,324.5,0.75,4,0.25
The Cooper Associates County Ground,195.0,137.25,332.25,0.75,4,0.25
"Punjab Cricket Association IS Bindra Stadium, Mohali",151.75,144.25,296.0,0.5,4,0.5
Gaddafi Stadium,177.25,156.25,333.5,0.75,4,0.25
Eden Park,184.5,145.0,329.5,1.0,4,0.0
Bay Oval,193.0,143.25,336.25,1.0,4,0.0
Punjab Cricket Association IS Bindra Stadium,180.33333333333334,170.33333333333334,350.6666666666667,0.6666666666666666,3,0.33333333333333337
Melbourne Cricket Ground,143.66666666666666,128.66666666666666,272.3333333333333,0.6666666666666666,3,0.33333333333333337
Sharjah Cricket Stadium,118.0,90.66666666666667,208.66666666666666,0.6666666666666666,3,0.33333333333333337
"Queen's Park Oval, Port of Spain",126.33333333333333,125.33333333333333,251.66666666666666,0.3333333333333333,3,0.6666666666666667
Harare Sports Club,128.33333333333334,125.66666666666667,254.0,0.6666666666666666,3,0.33333333333333337
Green Park,156.0,162.66666666666666,318.6666666666667,0.0,3,1.0
R Premadasa Stadium,153.5,139.5,293.0,0.5,2,0.5
Central Broward Regional Park Stadium Turf Ground,186.5,126.0,312.5,1.0,2,0.0
Manuka Oval,158.5,138.0,296.5,0.5,2,0.5
County Ground,181.0,178.0,359.0,0.5,2,0.5
Adelaide Oval,143.0,99.5,242.5,1.0,2,0.0
The Wanderers Stadium,161.5,150.0,311.5,0.5,2,0.5
Westpac Stadium,142.5,140.0,282.5,0.5,2,0.5
Senwes Park,191.0,144.5,335.5,1.0,2,0.0
Saxton Oval,145.0,114.0,259.0,1.0,2,0.0
"Simonds Stadium, South Geelong",132.0,114.0,246.0,0.5,2,0.5
Newlands,159.0,135.0,294.0,1.0,2,0.0
Sophia Gardens,153.0,147.0,300.0,0.5,2,0.5
Edgbaston,218.0,187.0,405.0,1.0,1,0.0
Buffalo Park,134.0,140.0,274.0,0.0,1,1.0
Barsapara Cricket Stadium,108.0,120.0,228.0,0.0,1,1.0
Asian Institute of Technology Ground,112.0,99.0,211.0,1.0,1,0.0
Barabati Stadium,173.0,85.0,258.0,1.0,1,0.0
"Bready Cricket Club, Magheramason",159.0,116.0,275.0,1.0,1,0.0
Greenfield International Stadium,64.0,53.0,117.0,1.0,1,0.0
Bellerive Oval,149.0,154.0,303.0,0.0,1,1.0
Coolidge Cricket Ground,146.0,99.0,245.0,1.0,1,0.0
Mangaung Oval,185.0,161.0,346.0,1.0,1,0.0
MA Chidambaram Stadium,197.0,198.0,395.0,0.0,1,1.0
"Kensington Oval, Bridgetown",104.0,111.0,215.0,0.0,1,1.0
JSCA International Stadium Complex,115.0,48.0,163.0,1.0,1,0.0
North Sydney Oval,120.0,131.0,251.0,0.0,1,1.0
McLean Park,123.0,140.0,263.0,0.0,1,1.0
"R.Premadasa Stadium, Khettarama",163.0,167.0,330.0,0.0,1,1.0
Old Trafford,152.0,157.0,309.0,0.0,1,1.0
Riverside Ground,168.0,146.0,314.0,1.0,1,0.0
"Sabina Park, Kingston",178.0,179.0,357.0,0.0,1,1.0
Sinhalese Sports Club Ground,57.0,63.0,120.0,0.0,1,1.0
Seddon Park,189.0,179.0,368.0,1.0,1,0.0
The Rose Bowl,141.0,135.0,276.0,1.0,1,0.0
Sydney Cricket Ground,105.0,94.0,199.0,1.0,1,0.0
SuperSport Park,187.0,182.0,369.0,1.0,1,0.0
"Vidarbha Cricket Association Stadium, Jamtha",140.0,131.0,271.0,1.0,1,0.0
