venue,v_avg,v_std,v_bat_adv,v_rr
AMI Stadium,222.5,46.873233300040226,0.5,7.066666666666666
"Achimota Senior Secondary School A Field, Accra",144.9,57.011597260752325,0.5,6.956999999999999
"Achimota Senior Secondary School B Field, Accra",133.0,25.35087112244206,0.5,6.48
Adelaide Oval,213.2608695652174,54.36233777272591,0.45652173913043476,5.797173913043479
Affies Park,164.0,,0.0,3.63
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),158.03937007874015,42.933947343805755,0.41732283464566927,6.713858267716535
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),166.45714285714286,49.473310010159466,0.6285714285714286,7.350857142857143
"Albert Park 1, Suva",131.0,22.76839915321233,0.5,6.043333333333333
"Albert Park 2, Suva",130.85714285714286,15.356090772378359,0.5714285714285714,6.138571428571429
Albertslund Cricket Club,121.0,43.594724451474626,0.6,5.098000000000001
Allan Border Field,195.2,62.31604038198262,0.3,5.401
"Allan Border Field, Brisbane",144.2,34.17894088470267,0.4,5.1259999999999994
Amini Park,165.33333333333334,46.70474636836532,0.6666666666666666,7.829999999999999
"Amini Park, Port Moresby",161.9375,62.75610860041169,0.625,5.751875
Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium,259.0,,0.0,5.27
"Antigua Recreation Ground, St John's",196.5,64.34671708797582,0.5,3.78
Arbab Niaz Stadium,274.6666666666667,46.3609030685699,0.3333333333333333,5.236666666666667
Arnos Vale Ground,134.0,14.142135623730951,0.5,3.85
"Arnos Vale Ground, Kingstown",187.7,47.10284256579191,0.5,4.644
"Arnos Vale Ground, Kingstown, St Vincent",148.0,33.82799629498227,1.0,6.37
Arun Jaitley Stadium,182.27777777777777,46.64358672965165,0.5555555555555556,8.01388888888889
"Arun Jaitley Stadium, Delhi",204.57692307692307,37.29790672616689,0.5,9.421153846153846
Arundel Castle Cricket Club Ground,139.0,,0.0,6.84
Asian Institute of Technology Ground,114.33333333333333,7.637626158259734,1.0,5.253333333333333
"Ballpark Ground, Graz",91.0,,0.0,4.33
Bangabandhu National Stadium,273.0,106.06601717798213,0.5,5.395
"Bangabandhu National Stadium, Dhaka",158.0,33.94112549695428,0.0,3.115
Barabati Stadium,190.84615384615384,61.37160873705656,0.38461538461538464,7.07923076923077
"Barabati Stadium, Cuttack",232.66666666666666,78.85006869580604,0.0,5.953333333333333
Barsapara Cricket Stadium,166.0,89.31685171343648,0.4,6.218
"Barsapara Cricket Stadium, Guwahati",200.6,39.00769154923167,0.6,7.665000000000001
Basin Reserve,248.71428571428572,65.9765470595784,0.7142857142857143,6.1657142857142855
"Basin Reserve, Wellington",215.69230769230768,64.3601644593204,0.46153846153846156,5.023076923076923
Bay Oval,225.16666666666666,53.34764300784763,0.5416666666666666,6.480833333333333
"Bay Oval, Mount Maunganui",196.3684210526316,46.30360020357883,0.6842105263157895,6.167894736842105
Bayer Uerdingen Cricket Ground,142.75,34.31448485651127,0.625,6.945
"Bayuemas Oval, Kuala Lumpur",127.18181818181819,33.778741347234465,0.4909090909090909,6.204727272727273
"Beausejour Stadium, Gros Islet",188.06666666666666,59.00901937683844,0.43333333333333335,6.018
