match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1426624,2024/25,2025-01-14,"Junction Oval, Melbourne",1,0.1,Australia,England,P Litchfield,AJ Healy,LK Bell,0,0,,,,,,,,,
1426624,2024/25,2025-01-14,"Junction Oval, Melbourne",1,0.2,Australia,England,P Litchfield,AJ Healy,LK Bell,0,1,1,,,,,,,,
1426624,2024/25,2025-01-14,"Junction Oval, Melbourne",1,0.3,Australia,England,P Litchfield,AJ Healy,LK Bell,0,0,,,,,,,,,
1426624,2024/25,2025-01-14,"Junction Oval, Melbourne",1,0.4,Australia,England,P Litchfield,AJ Healy,LK Bell,0,0,,,,,,,,,
1426624,2024/25,2025-01-14,"Junction Oval, Melbourne",1,0.5,Australia,England,P Litchfield,AJ Healy,LK Bell,0,1,1,,,,,,,,
1426624,2024/25,2025-01-14,"Junction Oval, Melbourne",1,0.6,Australia,England,P Litchfield,AJ Healy,LK Bell,0,0,,,,,,,,,
1426624,2024/25,2025-01-14,"Junction Oval, Melbourne",1,0.7,Australia,England,P Litchfield,AJ Healy,LK Bell,0,0,,,,,,,,,
1426624,2024/25,2025-01-14,"Junction Oval, Melbourne",1,0.8,Australia,England,P Litchfield,AJ Healy,LK Bell,0,0,,,,,,,,,
1426624,2024/25,2025-01-14,"Junction Oval, Melbourne",1,1.1,Australia,England,AJ Healy,P Litchfield,L Filer,4,0,,,,,,,,,
1426624,2024/25,2025-01-14,"Junction Oval, Melbourne",1,1.2,Australia,England,AJ Healy,P Litchfield,L Filer,4,0,,,,,,,,,
1426624,2024/25,2025-01-14,"Junction Oval, Melbourne",1,1.3,Australia,England,AJ Healy,P Litchfield,L Filer,0,0,,,,,,,,,
1426624,2024/25,2025-01-14,"Junction Oval, Melbourne",1,1.4,Australia,England,AJ Healy,P Litchfield,L Filer,0,1,1,,,,,,,,
1426624,2024/25,2025-01-14,"Junction Oval, Melbourne",1,1.5,Australia,England,AJ Healy,P Litchfield,L Filer,4,0,,,,,,,,,
1426624,2024/25,2025-01-14,"Junction Oval, Melbourne",1,1.6,Australia,England,AJ Healy,P Litchfield,L Filer,0,0,,,,,,,,,
1426624,2024/25,2025-01-14,"Junction Oval, Melbourne",1,1.7,Australia,England,AJ Healy,P Litchfield,L Filer,0,0,,,,,,,,,
1426624,2024/25,2025-01-14,"Junction Oval, Melbourne",1,2.1,Australia,England,P Litchfield,AJ Healy,LK Bell,0,2,2,,,,,,,,
1426624,2024/25,2025-01-14,"Junction Oval, Melbourne",1,2.2,Australia,England,AJ Healy,P Litchfield,LK Bell,0,0,,,,,,,,,
1426624,2024/25,2025-01-14,"Junction Oval, Melbourne",1,2.3,Australia,England,AJ Healy,P Litchfield,LK Bell,4,0,,,,,,,,,
1426624,2024/25,2025-01-14,"Junction Oval, Melbourne",1,2.4,Australia,England,AJ Healy,P Litchfield,LK Bell,0,0,,,,,,,,,
1426624,2024/25,2025-01-14,"Junction Oval, Melbourne",1,2.5,Australia,England,AJ Healy,P Litchfield,LK Bell,1,0,,,,,,,,,
1426624,2024/25,2025-01-14,"Junction Oval, Melbourne",1,2.6,Australia,England,P Litchfield,AJ Healy,LK Bell,0,0,,,,,,,,,
1426624,2024/25,2025-01-14,"Junction Oval, Melbourne",1,2.7,Australia,England,P Litchfield,AJ Healy,LK Bell,1,0,,,,,,,,,
1426624,2024/25,2025-01-14,"Junction Oval, Melbourne",1,3.1,Australia,England,P Litchfield,AJ Healy,L Filer,0,0,,,,,,,,,
1426624,2024/25,2025-01-14,"Junction Oval, Melbourne",1,3.2,Australia,England,P Litchfield,AJ Healy,L Filer,0,0,,,,,,,,,
1426624,2024/25,2025-01-14,"Junction Oval, Melbourne",1,3.3,Australia,England,P Litchfield,AJ Healy,L Filer,0,0,,,,,,,,,
1426624,2024/25,2025-01-14,"Junction Oval, Melbourne",1,3.4,Australia,England,P Litchfield,AJ Healy,L Filer,1,0,,,,,,,,,
1426624,2024/25,2025-01-14,"Junction Oval, Melbourne",1,3.5,Australia,England,AJ Healy,P Litchfield,L Filer,0,0,,,,,,,,,
1426624,2024/25,2025-01-14,"Junction Oval, Melbourne",1,3.6,Australia,England,AJ Healy,P Litchfield,L Filer,4,0,,,,,,,,,
1426624,2024/25,2025-01-14,"Junction Oval, Melbourne",1,4.1,Australia,England,P Litchfield,AJ Healy,LK Bell,0,0,,,,,,,,,
1426624,2024/25,2025-01-14,"Junction Oval, Melbourne",1,4.2,Australia,England,P Litchfield,AJ Healy,LK Bell,0,0,,,,,,,,,
1426624,2024/25,2025-01-14,"Junction Oval, Melbourne",1,4.3,Australia,England,P Litchfield,AJ Healy,LK Bell,0,0,,,,,,,,,
1426624,2024/25,2025-01-14,"Junction Oval, Melbourne",1,4.4,Australia,England,P Litchfield,AJ Healy,LK Bell,0,0,,,,,,,,,
1426624,2024/25,2025-01-14,"Junction Oval, Melbourne",1,4.5,Australia,England,P Litchfield,AJ Healy,LK Bell,2,0,,,,,,,,,
1426624,2024/25,2025-01-14,"Junction Oval, Melbourne",1,4.6,Australia,England,P Litchfield,AJ Healy,LK Bell,0,0,,,,,,,,,
1426624,2024/25,2025-01-14,"Junction Oval, Melbourne",1,5.1,Australia,England,AJ Healy,P Litchfield,L Filer,1,0,,,,,,,,,
1426624,2024/25,2025-01-14,"Junction Oval, Melbourne",1,5.2,Australia,England,P Litchfield,AJ Healy,L Filer,0,0,,,,,,,,,
1426624,2024/25,2025-01-14,"Junction Oval, Melbourne",1,5.3,Australia,England,P Litchfield,AJ Healy,L Filer,0,0,,,,,,,,,
1426624,2024/25,2025-01-14,"Junction Oval, Melbourne",1,5.4,Australia,England,P Litchfield,AJ Healy,L Filer,4,0,,,,,,,,,
1426624,2024/25,2025-01-14,"Junction Oval, Melbourne",1,5.5,Australia,England,P Litchfield,AJ Healy,L Filer,0,0,,,,,,,,,
1426624,2024/25,2025-01-14,"Junction Oval, Melbourne",1,5.6,Australia,England,P Litchfield,AJ Healy,L Filer,0,0,,,,,,,,,
1426624,2024/25,2025-01-14,"Junction Oval, Melbourne",1,6.1,Australia,England,AJ Healy,P Litchfield,LK Bell,1,0,,,,,,,,,
1426624,2024/25,2025-01-14,"Junction Oval, Melbourne",1,6.2,Australia,England,P Litchfield,AJ Healy,LK Bell,0,0,,,,,,,,,
1426624,2024/25,2025-01-14,"Junction Oval, Melbourne",1,6.3,Australia,England,P Litchfield,AJ Healy,LK Bell,0,0,,,,,,,,,
1426624,2024/25,2025-01-14,"Junction Oval, Melbourne",1,6.4,Australia,England,P Litchfield,AJ Healy,LK Bell,0,0,,,,,,,,,
1426624,2024/25,2025-01-14,"Junction Oval, Melbourne",1,6.5,Australia,England,P Litchfield,AJ Healy,LK Bell,0,0,,,,,,,,,
1426624,2024/25,2025-01-14,"Junction Oval, Melbourne",1,6.6,Australia,England,P Litchfield,AJ Healy,LK Bell,0,0,,,,,,,,,
1426624,2024/25,2025-01-14,"Junction Oval, Melbourne",1,7.1,Australia,England,AJ Healy,P Litchfield,NR Sciver-Brunt,4,0,,,,,,,,,
1426624,2024/25,2025-01-14,"Junction Oval, Melbourne",1,7.2,Australia,England,AJ Healy,P Litchfield,NR Sciver-Brunt,1,0,,,,,,,,,
1426624,2024/25,2025-01-14,"Junction Oval, Melbourne",1,7.3,Australia,England,P Litchfield,AJ Healy,NR Sciver-Brunt,0,0,,,,,,,,,
1426624,2024/25,2025-01-14,"Junction Oval, Melbourne",1,7.4,Australia,England,P Litchfield,AJ Healy,NR Sciver-Brunt,1,0,,,,,,,,,
1426624,2024/25,2025-01-14,"Junction Oval, Melbourne",1,7.5,Australia,England,AJ Healy,P Litchfield,NR Sciver-Brunt,0,0,,,,,,,,,
1426624,2024/25,2025-01-14,"Junction Oval, Melbourne",1,7.6,Australia,England,AJ Healy,P Litchfield,NR Sciver-Brunt,1,0,,,,,,,,,
1426624,2024/25,2025-01-14,"Junction Oval, Melbourne",1,8.1,Australia,England,AJ Healy,P Litchfield,LK Bell,0,0,,,,,,caught,AJ Healy,,
1426624,2024/25,2025-01-14,"Junction Oval, Melbourne",1,8.2,Australia,England,EA Perry,P Litchfield,LK Bell,0,1,1,,,,,,,,
1426624,2024/25,2025-01-14,"Junction Oval, Melbourne",1,8.3,Australia,England,EA Perry,P Litchfield,LK Bell,0,0,,,,,,,,,
1426624,2024/25,2025-01-14,"Junction Oval, Melbourne",1,8.4,Australia,England,EA Perry,P Litchfield,LK Bell,0,0,,,,,,,,,
1426624,2024/25,2025-01-14,"Junction Oval, Melbourne",1,8.5,Australia,England,EA Perry,P Litchfield,LK Bell,4,0,,,,,,,,,
1426624,2024/25,2025-01-14,"Junction Oval, Melbourne",1,8.6,Australia,England,EA Perry,P Litchfield,LK Bell,0,0,,,,,,,,,
1426624,2024/25,2025-01-14,"Junction Oval, Melbourne",1,8.7,Australia,England,EA Perry,P Litchfield,LK Bell,0,0,,,,,,,,,
1426624,2024/25,2025-01-14,"Junction Oval, Melbourne",1,9.1,Australia,England,P Litchfield,EA Perry,NR Sciver-Brunt,0,0,,,,,,,,,
1426624,2024/25,2025-01-14,"Junction Oval, Melbourne",1,9.2,Australia,England,P Litchfield,EA Perry,NR Sciver-Brunt,0,0,,,,,,,,,
1426624,2024/25,2025-01-14,"Junction Oval, Melbourne",1,9.3,Australia,England,P Litchfield,EA Perry,NR Sciver-Brunt,4,0,,,,,,,,,
1426624,2024/25,2025-01-14,"Junction Oval, Melbourne",1,9.4,Australia,England,P Litchfield,EA Perry,NR Sciver-Brunt,1,0,,,,,,,,,
1426624,2024/25,2025-01-14,"Junction Oval, Melbourne",1,9.5,Australia,England,EA Perry,P Litchfield,NR Sciver-Brunt,0,0,,,,,,,,,
1426624,2024/25,2025-01-14,"Junction Oval, Melbourne",1,9.6,Australia,England,EA Perry,P Litchfield,NR Sciver-Brunt,0,0,,,,,,,,,
